name,short_name,code,patch_property_color,patch_property_hatch,patch_property_alpha,patch_property_hatchcolor
ANIDRITA,AND,82,#dd1dff,//,1.0,#000000
ARDOSIA,ARS,77,#00dd00,\,1.0,#000000
AREIA,ARE,48,#ffff3f,+,1.0,#000000
ARENITO,ARN,49,#ffff3f,.,1.0,#000000
ARENITO ARGILOSO,ARL,25,#7eff00,.,1.0,#000000
ARENITO CARBONATICO,ARC,26,#3fbeff,.,1.0,#000000
ARENITO CONGLOMERATICO,ARO,27,#ffbe1d,.,1.0,#000000
ARENITO FOSFATICO,ARF,28,#ffff3f,x,1.0,#000000
ARENITO TOBACEO,ART,29,#dddddd,.,1.0,#000000
ARGILA,ARG,55,#7eff00,-,1.0,#000000
ARGILITO,AGT,56,#7eff00,+,1.0,#000000
ARGILITO ARENOSO,AGN,20,#ffff3f,-,1.0,#000000
ARGILITO CARBONATICO,AGL,21,#2f0eff,-,1.0,#000000
ARGILITO CARBONOSO,AGC,22,#dddddd,-,1.0,#000000
ARGILITO SILTICO,AGS,23,#af1d4e,-,1.0,#000000
ARGILITO TOBACEO,AGB,24,#dddddd,+,1.0,#000000
BASALTO,BAS,66,#ff00ff,.,1.0,#000000
BIOLITITO,BLT,16,#afecec,+.,1.0,#000000
BRECHA,BRC,40,#ffdd1d,O,1.0,#000000
BRECHA VULCANICA,BRV,41,#da62bc,O,1.0,#000000
CALCARENITO,CRE,8,#007eec,+.,1.0,#000000
CALCARIO,CAL,1,#beffff,+,1.0,#000000
CALCARIO CRISTALINO,CLC,2,#00ecec,+,1.0,#000000
CALCILUTITO,CLU,6,#4effff,+-,1.0,#000000
CALCIRUDITO,CRU,10,#007eec,+O,1.0,#000000
CALCISSILTITO,CSI,7,#3fbeff,+o,1.0,#000000
CARNALITA,CRN,87,#af5ddd,o,1.0,#000000
CARVAO,CRV,92,#dddddd,x,1.0,#000000
CHERT,CHT,19,#dddddd,|,1.0,#000000
CIMENTO,CIM,11,#4effff,x,1.0,#000000
CONGLOMERADO,CGL,42,#ffbe1d,.O,1.0,#000000
COQUINA,COQ,4,#afecec,+O,1.0,#000000
DIABASIO,DIA,65,#ff00ff,o,1.0,#000000
DIAMICTITO,DMT,44,#0eec5d,-O,1.0,#000000
DOLOMITO,DOL,30,#00becd,-/,1.0,#000000
FANGOLITA,FNG,95,#dddddd,\,1.0,#000000
FILITO,FLT,72,#3fa000,\,1.0,#000000
FOLHELHO,FLH,57,#487a16,-,1.0,#000000
FOLHELHO SILTICO,FLS,52,#3fff00,-.,1.0,#000000
FOSFORITA,PHO,18,#ffbe1d,-,1.0,#000000
GIPSITA,GIP,83,#dd1dff,\,1.0,#000000
GNAISSE,GNA,71,#ff0000,o,1.0,#000000
GRAINSTONE,GRS,15,#007eec,+o,1.0,#000000
GRANITO,GRN,67,#ff0000,.,1.0,#000000
HALITA,HAL,85,#6dafcd,o,1.0,#000000
IGNEA NAO IDENTIFICADA,INI,64,#ff0000,O,1.0,#000000
IGNIMBRITO,IGB,63,#b66d23,O,1.0,#000000
LIMOARCILITA,LMA,53,#dddddd,-.,1.0,#000000
LINHITO,LNT,90,#dddddd,/,1.0,#000000
MARGA,MRG,58,#2f0eff,o,1.0,#000000
MARMORE,MRM,3,#ffbeff,+,1.0,#000000
MARMORE DOLOMITICO,MRD,5,#ff00ff,-/,1.0,#000000
META-ARENITO,MAR,75,#ff3f3f,\,1.0,#000000
METASSILTITO,MSI,76,#dd3f3f,\,1.0,#000000
METAMORFICA NAO IDENTIFICADA,MNI,70,#ff0000,-,1.0,#000000
METASSEDIMENTO,MSD,79,#ff0000,|,1.0,#000000
MUDSTONE,MDS,12,#7faeae,+.,1.0,#000000
PACKSTONE,PKS,14,#18b1f1,-.,1.0,#000000
QUARTZITO,QZT,74,#ff3f3f,\O,1.0,#000000
RIOLITO,RLT,68,#e98918,.,1.0,#000000
SAL NAO IDENTIFICADO,SNI,84,#8e1ddd,o,1.0,#000000
SIDERITA,SID,9,#e98918,-,1.0,#000000
SILEXITO,SLX,94,#beffff,-,1.0,#000000
SILTITO,SLT,54,#af1d4e,o-,1.0,#000000
SILVINITA,SLV,86,#cda0dd,o,1.0,#000000
TALCOESTIVENCITA,TES,91,#ffff3f,o,1.0,#000000
TAQUIDRITA,TQD,81,#6d1ddd,o,1.0,#000000
TILITO,TIL,46,#2fec5d,-o,1.0,#000000
TOBA,TOB,59,#dddddd,O.,1.0,#000000
TOBA ARENOSA,TON,43,#ffff3f,O.,1.0,#000000
TOBA ARGILOSA,TOL,45,#7eff00,O.,1.0,#000000
TOBA SILTICA,TOS,47,#af1d4e,O.,1.0,#000000
TUFO VULCANICO,TUF,61,#ff5dbe,.O,1.0,#000000
ULTRABASICA,ULB,78,#00a000,-,1.0,#000000
VULCANICA NAO IDENTIFICADA,VNI,34,#ffbe1d,o,1.0,#000000
WACKESTONE,WKS,13,#33d8f9,xo,1.0,#000000
XISTO,XST,73,#ff5d5d,o,1.0,#000000
ESFERULITO,ESF,101,#007eec,+.,1.0,#000000
LAMINITO,LMT,100,#7faeae,+.,1.0,#000000
